DATE,return
09JAN1933,-0.010377678
10JAN1933,0.0322150075
11JAN1933,-0.008427016
12JAN1933,-0.011347639
13JAN1933,0.001425517
16JAN1933,-0.025001302
17JAN1933,0.0021074823
18JAN1933,-0.022767342
19JAN1933,0.0108750454
20JAN1933,0.0099470857
23JAN1933,-0.002762208
24JAN1933,-0.002606714
25JAN1933,0.0166630079
26JAN1933,-0.009672814
27JAN1933,-0.004871721
30JAN1933,-0.010802069
31JAN1933,0.0021369286
01FEB1933,-0.030340717
02FEB1933,-0.017932339
03FEB1933,0.0013776479
06FEB1933,-0.000688587
07FEB1933,0.005324186
08FEB1933,0.0083582576
09FEB1933,0.0205118153
10FEB1933,-0.016443324
14FEB1933,-0.043921305
15FEB1933,0.0024717527
16FEB1933,-0.021747738
17FEB1933,0.0157342778
20FEB1933,-0.038149795
21FEB1933,-0.004988463
23FEB1933,-0.038709638
24FEB1933,0.0359274791
27FEB1933,-0.070798789
28FEB1933,0.0242257047
01MAR1933,0.0221311833
02MAR1933,0
03MAR1933,0.0244419011
15MAR1933,0.1427293036
16MAR1933,0.0135947716
17MAR1933,-0.035902951
20MAR1933,-0.013761305
21MAR1933,-0.03950122
22MAR1933,-0.012583179
23MAR1933,0.0208848524
24MAR1933,-0.002241573
27MAR1933,-0.024463914
28MAR1933,0.0242912774
29MAR1933,-0.019350382
30MAR1933,-0.005648735
31MAR1933,-0.019484038
03APR1933,0.0052210038
04APR1933,0.0071569459
05APR1933,0.0248274043
06APR1933,0.0223569071
07APR1933,-0.000340194
10APR1933,0.0551053456
11APR1933,-0.015577144
12APR1933,-0.014661328
13APR1933,0.0395334116
17APR1933,-0.017702426
18APR1933,0.0170641616
19APR1933,0.0864924874
20APR1933,0.0563529366
21APR1933,-0.03506167
24APR1933,0.054519669
25APR1933,-0.016970436
26APR1933,0.0026190655
27APR1933,-0.012885526
28APR1933,0.0191981589
01MAY1933,0.0621845215
02MAY1933,-0.006448307
03MAY1933,0.0010345274
04MAY1933,0.0228720122
05MAY1933,0.0078017257
08MAY1933,-0.040284201
09MAY1933,0.0077993376
10MAY1933,0.0449414276
11MAY1933,0.0208264296
12MAY1933,-0.004130731
15MAY1933,-0.030155523
16MAY1933,0.019753422
17MAY1933,0.0164708171
18MAY1933,-0.000847406
19MAY1933,-0.009980609
22MAY1933,-0.022389456
23MAY1933,0.0382868849
24MAY1933,0.0146999958
25MAY1933,-0.006665898
26MAY1933,0.0316217943
29MAY1933,0.0408127374
31MAY1933,-0.021445834
01JUN1933,0.0111733006
02JUN1933,0.0343092501
05JUN1933,-0.003476375
06JUN1933,0.0001088198
07JUN1933,0.0116833869
08JUN1933,0.0057909009
09JUN1933,0.0081998223
12JUN1933,0.0257551924
13JUN1933,-0.020466413
14JUN1933,-0.007731042
15JUN1933,-0.056758249
16JUN1933,0.0039306019
19JUN1933,0.0731387897
20JUN1933,-0.007949001
21JUN1933,0.0071152335
22JUN1933,-0.03156373
23JUN1933,0.0275938127
26JUN1933,0.0305146859
27JUN1933,0.0025351126
28JUN1933,-0.010179241
29JUN1933,-0.007703011
30JUN1933,0.0117871503
03JUL1933,0.055781881
05JUL1933,-0.010072724
06JUL1933,0.0216656686
07JUL1933,0.0035182844
10JUL1933,-0.012128306
11JUL1933,-0.009654448
12JUL1933,0.0141600401
13JUL1933,0.0091403093
14JUL1933,-0.004464505
17JUL1933,0.0302868773
18JUL1933,0.0036876598
19JUL1933,-0.047971506
20JUL1933,-0.073291397
21JUL1933,-0.081680241
24JUL1933,0.0608964555
25JUL1933,-0.015499215
26JUL1933,0.0236332055
27JUL1933,0.0102575737
28JUL1933,-0.015637617
31JUL1933,-0.040694191
01AUG1933,0.021039638
02AUG1933,0.0228227886
03AUG1933,-0.007833215
04AUG1933,-0.015852946
07AUG1933,-0.000756062
08AUG1933,0.0349310953
09AUG1933,0.0330455928
10AUG1933,-0.015053173
11AUG1933,-0.001127916
14AUG1933,-0.009690797
15AUG1933,0.0010354112
16AUG1933,-0.02292454
17AUG1933,0.0501808588
18AUG1933,-0.009918106
21AUG1933,0.0186412774
22AUG1933,0.0116124574
23AUG1933,-0.009518216
24AUG1933,0.0102087214
25AUG1933,0.0354550891
28AUG1933,-0.003336673
29AUG1933,-0.010849322
30AUG1933,-0.012042488
31AUG1933,0.000586052
01SEP1933,0.0121319487
05SEP1933,-0.033748543
06SEP1933,0.0010969834
07SEP1933,-0.011326739
08SEP1933,0.0038233269
11SEP1933,0.0394794589
12SEP1933,-0.007266418
13SEP1933,0.0078454565
14SEP1933,0.0096971621
15SEP1933,-0.019586713
18SEP1933,0.0256831315
19SEP1933,0.0041698317
20SEP1933,-0.01668851
21SEP1933,-0.063827167
22SEP1933,0.0152581538
25SEP1933,-0.010452173
26SEP1933,-0.006344679
27SEP1933,-0.044395768
28SEP1933,0.0157584181
29SEP1933,-0.004446805
02OCT1933,-0.013352759
03OCT1933,0.0060040922
04OCT1933,0.0525752089
05OCT1933,-0.005593709
06OCT1933,-0.005215002
09OCT1933,0.0221037084
10OCT1933,-0.009572344
11OCT1933,0.0008096347
13OCT1933,-0.035944346
16OCT1933,-0.052419856
17OCT1933,0.0238054482
18OCT1933,-0.040970381
19OCT1933,-0.052744007
20OCT1933,0.0263157692
23OCT1933,0.0171668212
24OCT1933,0.0358852857
25OCT1933,0.0236908695
26OCT1933,-0.016383208
27OCT1933,0.0129563462
30OCT1933,-0.052751012
31OCT1933,-0.003057933
01NOV1933,0.016425164
02NOV1933,0.0102132326
03NOV1933,0.0332386415
06NOV1933,-0.011821739
08NOV1933,0.0323363634
09NOV1933,0.0089611937
10NOV1933,-0.01399793
13NOV1933,0.0096315652
14NOV1933,-0.005013589
15NOV1933,-0.012008993
16NOV1933,0.0481036006
17NOV1933,-0.009335431
20NOV1933,0.0320035338
21NOV1933,-0.009822969
22NOV1933,-0.002196048
23NOV1933,-0.014900105
24NOV1933,0.0093887924
27NOV1933,-0.038409145
28NOV1933,0.0047916758
29NOV1933,0.0196538713
01DEC1933,0.0076130906
04DEC1933,0
05DEC1933,0.030866648
06DEC1933,-0.006985811
07DEC1933,0.0074759349
08DEC1933,-0.009848415
11DEC1933,0.0088679269
12DEC1933,-0.002947246
13DEC1933,-0.009390669
14DEC1933,0.0074210008
15DEC1933,-0.01479743
18DEC1933,-0.027899349
19DEC1933,0.000514271
20DEC1933,-0.020465057
21DEC1933,0.0023063224
22DEC1933,0.0346796084
26DEC1933,-0.026337537
27DEC1933,0.0051786755
28DEC1933,0.0253978668
29DEC1933,-0.006263912
02JAN1934,0.0169827726
03JAN1934,-0.012735193
04JAN1934,-0.003133373
05JAN1934,-0.015815849
08JAN1934,-0.005155714
09JAN1934,0.0086464769
10JAN1934,0.0222974678
