volume,close,return
3.89321,20.95,-0.003804089
6.38517,21.13,0.008591885
11.30794,21.86,0.034548036
5.51658,21.83,-0.00137237
4.72285,21.76,-0.003206596
4.69911,21.87,0.005055147
4.19198,22.11,0.010973937
4.95584,22.32,0.009497965
3.4148,22.32,0
3.62004,22.05,-0.012096774
3.44277,22.1,0.002267574
4.38403,22.44,0.015384615
3.58366,22.13,-0.013814617
3.09177,22.36,0.010393131
4.29858,22.26,-0.004472272
3.83259,22.3,0.001796945
2.44246,22.32,0.000896861
1.97387,22.27,-0.002240143
3.42975,22.4,0.005837449
8.49269,23.2,0.035714286
5.39965,23.22,0.000862069
3.9283,23.1,-0.005167959
4.1219,23.56,0.01991342
3.81074,23.22,-0.014431239
4.78112,23.26,0.001722653
2.78363,23.39,0.005588994
5.16198,22.81,-0.024796922
4.13163,23.05,0.010521701
2.96764,23.37,0.013882863
3.97146,23.22,-0.006418485
4.12269,23.19,-0.00129199
2.54449,23.27,0.003449763
